Time, PoorSignal, Attention, Meditation
13:27:06, 0, 47, 69
13:27:07, 0, 47, 69
13:27:08, 0, 51, 69
13:27:09, 0, 57, 56
13:27:10, 0, 54, 61
13:27:11, 0, 48, 48
13:27:12, 26, 48, 48
13:27:13, 0, 41, 48
13:27:14, 0, 40, 50
13:27:15, 0, 38, 43
13:27:16, 0, 48, 47
13:27:17, 0, 51, 53
13:27:18, 0, 61, 51
13:27:19, 0, 63, 60
13:27:20, 0, 51, 63
13:27:21, 0, 51, 50
13:27:22, 0, 35, 61
13:27:23, 0, 35, 60
13:27:24, 0, 44, 61
13:27:25, 0, 48, 67
13:27:26, 0, 60, 57
13:27:27, 0, 54, 54
13:27:28, 0, 51, 56
13:27:29, 0, 44, 63
13:27:30, 0, 43, 67
13:27:31, 26, 43, 67
13:27:32, 0, 51, 63
13:27:33, 0, 47, 66
13:27:34, 0, 47, 57
13:27:35, 0, 61, 57
13:27:36, 0, 53, 54
13:27:37, 0, 64, 48
13:27:38, 0, 69, 54
13:27:39, 0, 63, 56
13:27:40, 0, 64, 78
13:27:41, 0, 57, 80
13:27:42, 0, 56, 84
13:27:43, 0, 51, 94
13:27:44, 26, 51, 94
13:27:45, 0, 51, 84
13:27:46, 0, 51, 84
13:27:47, 0, 43, 64
13:27:48, 0, 44, 53
13:27:49, 0, 56, 50
13:27:50, 0, 60, 50
13:27:51, 0, 70, 50
13:27:52, 0, 75, 57
13:27:53, 0, 61, 63
13:27:54, 0, 75, 61
13:27:55, 0, 66, 70
13:27:56, 0, 57, 70
13:27:57, 0, 70, 67
13:27:58, 0, 56, 57
13:27:59, 0, 61, 57
13:28:00, 0, 61, 56
13:28:01, 0, 66, 54
13:28:02, 0, 67, 57
13:28:03, 0, 53, 61
13:28:04, 0, 48, 69
13:28:05, 0, 35, 77
13:28:06, 0, 23, 66
13:28:07, 0, 20, 44
13:28:08, 0, 20, 38
13:28:09, 0, 14, 30
13:28:10, 0, 30, 37
13:28:11, 0, 38, 54
13:28:12, 0, 47, 51
13:28:13, 0, 51, 47
13:28:14, 0, 40, 53
13:28:15, 0, 43, 60
13:28:16, 0, 38, 61
13:28:17, 0, 44, 57
13:28:18, 0, 40, 67
13:28:19, 0, 30, 57
13:28:20, 0, 40, 47
