1	25	1
2	7	1
3	21	1
4	27	1
5	37	0
6	26	1
7	11	0
8	40	0
9	9	0
10	13	0
11	27	0
12	52	0
13	4	1
14	9	0
15	22	1
16	13	0
17	15	0
18	6	0
19	9	0
20	7	1
21	6	1
22	10	0
23	7	1
24	36	1
25	5	1
26	6	0
27	4	1
28	15	1
29	21	1
30	6	1
31	6	1
32	11	1
33	6	0
34	13	1
35	35	0
36	6	0
37	45	1
38	17	0
39	6	1
40	6	0
41	18	1
42	6	1
43	21	0
44	3	0
45	3	1
46	3	1
47	3	1
48	3	0
49	3	1
50	3	0
51	3	1
52	3	0
53	3	1
54	3	0
55	3	0
56	3	1
57	3	0
58	3	0
59	3	1
60	3	0
61	3	1
62	3	0
63	3	1
64	3	0
65	3	1
66	3	0
67	3	1
68	3	1
69	7	1
70	70	1
71	56	1
72	8	0
73	7	0
74	6	1
75	111	0
76	6	1
77	151	0
78	6	1
79	6	0
80	4	1
81	103	1
82	6	1
83	68	1
84	6	1
85	5	1
86	6	1
87	6	0
88	85	0
89	4	1
90	6	1
91	6	0
92	51	1
93	7	0
94	6	0
95	6	0
96	104	0
97	7	1
98	7	0
99	7	1
100	6	1
101	6	0
102	7	1
103	59	1
