1395723301.31	38	67	0
1395723302.31	38	67	0
1395723303.31	38	67	0
1395723304.31	38	67	0
1395723305.31	38	67	0
1395723306.32	38	67	0
1395723307.32	38	67	0
1395723308.32	38	67	0
1395723309.32	38	67	0
1395723310.32	38	67	0
1395723311.33	38	67	0
1395723312.33	38	67	0
1395723313.33	38	67	0
1395723314.33	38	67	0
1395723315.34	38	67	0
1395723316.34	38	67	0
1395723317.34	38	67	0
1395723318.34	38	67	0
1395723319.35	38	67	0
1395723320.35	38	67	0
1395723321.35	38	67	0
1395723322.35	38	67	0
1395723323.36	38	67	0
1395723324.36	38	67	0
1395723325.36	38	67	0
1395723326.36	38	67	0
1395723327.37	38	67	0
1395723328.37	38	67	0
1395723329.37	38	67	0
1395723330.37	38	67	0
1395723331.37	38	67	0
1395723332.38	38	67	0
1395723333.38	38	67	0
1395723334.38	38	67	0
1395723335.38	38	67	0
1395723336.38	38	67	0
1395723337.39	38	67	0
1395723338.39	38	67	0
1395723339.39	38	67	0
