timeperiod,productivity bursts,commits,authors
1415,#FFFFFF,14,3
1420,#FFFFFF,18,3
1425,#FFFFFF,34,5
1430,#FFFFFF,34,6
1435,#FFFFFF,30,7
1440,#FFFFFF,34,7
1445,#FFFFFF,2,2
1450,#FFFFFF,0,0
1455,#FFFFFF,0,0
1460,#FFFFFF,8,1
1465,#FFFFFF,0,0
1470,#FFFFFF,4,1
1475,#FFFFFF,7,2
1480,#FFFFFF,9,2
1485,#FFFFFF,6,2
1490,#FFFFFF,3,1
1495,#FFFFFF,20,1
1500,#909090,5,2
1505,#909090,0,0
1510,#909090,0,0
1515,#909090,0,0
1520,#909090,16,6
1525,#909090,28,5
1530,#909090,25,6
1535,#909090,26,8
1540,#909090,62,6
1545,#909090,52,5
1550,#909090,9,4
1555,#909090,78,6
1560,#909090,66,8
1565,#909090,87,9
1570,#909090,42,7
1575,#909090,131,12
1580,#909090,41,8
1585,#909090,39,8
1590,#909090,51,8
1595,#909090,49,5
1600,#909090,13,6
1605,#909090,13,4
1610,#909090,27,4
1615,#909090,52,9
1620,#909090,31,4
1625,#909090,30,4
1630,#909090,22,6
1635,#909090,35,6
1640,#909090,10,5
1645,#909090,10,5
1650,#909090,5,1
1655,#909090,0,0
1660,#909090,0,0
1665,#909090,0,0
1670,#909090,0,0
1675,#909090,0,0
1680,#909090,0,0
1685,#909090,0,0
1690,#909090,0,0
1695,#909090,1,1
1700,#909090,8,3
1705,#909090,9,5
1710,#909090,11,4
1715,#909090,11,4
1720,#909090,21,7
1725,#909090,4,4
1730,#909090,9,4
1735,#909090,9,1
1740,#909090,8,3
1745,#909090,5,2
1750,#909090,8,5
1755,#909090,10,5
1760,#909090,11,5
1765,#909090,16,5
1770,#909090,6,3
1775,#909090,6,2
1780,#909090,13,6
1785,#909090,24,5
1790,#909090,48,8
1795,#909090,39,8
1800,#909090,20,5
1805,#909090,47,9
1810,#909090,26,3
1815,#909090,0,0
1820,#909090,0,0
1825,#909090,0,0
1830,#909090,24,5
1835,#909090,5,1
1840,#909090,0,0
1845,#909090,11,1
1850,#909090,2,0
1855,#909090,6,1
1860,#909090,2,2
1865,#909090,11,1
1870,#909090,27,4
1875,#909090,20,4
1880,#909090,56,8
1885,#909090,28,5
1890,#909090,24,7
1895,#909090,61,5
1900,#909090,51,7
1905,#909090,24,4
1910,#909090,15,7
1915,#909090,45,4
1920,#909090,25,4
1925,#909090,1,1
