281061	40522	13301	11471	6526
567490	100077	22150	18841	15483
723221	136291	30878	25903	18736
781880	156168	36156	29379	19446
971303	199930	47357	36802	23903
1227336	256247	61935	47124	30265
1276866	272039	68258	51127	33709
1565906	351353	87229	64387	43359
1824054	421238	103623	76142	52364
1971689	465507	112849	83483	58129
1962171	479586	114134	84918	60544
2276142	569251	133292	99795	72525
2578043	652772	151842	113971	84167
2772531	709636	165264	123645	92484
3035208	784353	182773	136388	102876
3263391	850495	198075	147667	112091
3555667	932878	217222	161958	123547
3831616	1009580	235378	175219	134353
4111263	1085898	253344	188393	145155
4415738	1166442	272237	202437	156673
4694192	1237678	288742	214814	166862
4986887	1313355	306280	227889	177501
4958579	1305411	304586	226377	176367
5260667	1385042	323173	239969	186828
5561370	1463829	341704	253376	197000
5892634	1550228	361998	268052	208131
6077636	1598961	373496	276240	214060
6176603	1625660	379883	280559	216865
6466975	1702648	398107	293689	226373
6746030	1775930	415448	306243	235264
6968886	1832702	428877	315920	241910
7261373	1907165	446642	328742	250974
7442051	1951946	457454	336523	256001
7356416	1928077	452128	332506	251853
7616828	1995944	468195	344219	259624
7416130	1944589	456433	335382	251782
7566523	1983499	465958	342126	255604
7830363	2052113	482541	354023	263273
8106498	2122967	499586	366227	271178
8228707	2154112	507290	371423	273899
8498165	2224089	524111	383129	281559
8594698	2249434	530449	387233	283572
8889015	2326599	549018	400272	292150
9194007	2406117	568177	413766	301023
9495981	2484910	587174	427158	309828
9786232	2560228	605406	439931	318177
10085731	2638089	624263	453156	326849
10369858	2711941	642181	465725	335054
10651061	2785480	660003	478250	343207
10956603	2865454	679363	491880	352147
11232992	2937819	696925	504209	360144
11506582	3009494	714393	516436	368065
11778071	3080518	731719	528566	375905
12061205	3154715	749844	541271	384143
12328000	3224473	766946	553243	391858
12607333	3297504	784840	565786	399982
12885334	3370108	802619	578248	408049
13146547	3438560	819337	589965	415585
13405803	3506506	835941	601604	423065
13678608	3578164	853462	613888	431003
13948978	3649277	870870	626088	438879
14201282	3715566	887145	637483	446177
14468704	3785680	904336	649523	453931
14717784	3851206	920406	660747	461093
14965528	3916306	936351	671897	468184
15228442	3985518	953279	683734	475754
15472273	4049844	969026	694737	482757
15614876	4087510	978312	701065	486549
14724514	3855722	922678	660727	458321
14205474	3720911	890325	636488	441643
14411528	3775597	903283	644724	447521
14644751	3837329	917965	654243	454262
14905540	3906130	934432	665054	461839
13753833	3606935	862198	612919	425826
13970382	3666323	875703	621772	432216
12677771	3329180	793853	563263	391744
12919465	3393558	808062	573024	398657
13207203	3469509	825062	584805	406939
13524270	3552497	843839	597842	416065
12911836	3385401	803317	568895	395605
13201823	3455078	819013	579785	402861
12971920	3388247	802458	567835	394197
13278305	3462014	819263	579500	401944
13609435	3541924	837514	592215	410411
13923397	3617040	854785	604201	418381
14246379	3694821	872635	616587	426657
13866188	3591986	847667	598740	413788
14182251	3669758	865336	611020	421740
14497109	3747122	883000	623245	429638
14819028	3826502	901139	635791	437743
14742205	3803355	895283	631259	434070
15067137	3883123	913705	643827	442189
15393809	3962889	932215	656404	450316
15723269	4042564	950687	668954	458450
15229068	3909107	919214	646143	442485
15550470	3985778	936994	657978	450297
15896502	4068462	956164	670786	458788
16242394	4150870	975231	683534	467233
16602560	4237181	995267	696938	476117
16953012	4320989	1014753	709937	484710
17291948	4402053	1033657	722545	493005
17423756	4429972	1040155	726556	495307
