1395708665.28	20979	11476	7593	16576	9293	9916	5934	5738
1395708666.32	50730	44797	6640	7118	9841	10659	4311	7838
1395708667.35	266394	43200	22673	10815	13433	14918	3125	8158
1395708668.38	114426	27956	30043	10144	19801	27882	22233	9198
1395708669.41	5355	16631	4990	6657	17449	52067	11780	22524
1395708670.44	381772	75735	2832	15808	32886	10782	36292	25647
1395708671.48	25946	159493	46116	9690	12889	11912	23407	21020
1395708672.51	177121	42158	2511	5503	1876	4132	2812	3261
1395708673.54	1247268	90306	33410	30905	23698	12946	12934	5343
1395708674.58	278218	49440	8768	6039	10111	12552	15388	13381
1395708675.61	961266	118367	77390	13083	21116	18506	18612	21117
1395708676.64	862479	342275	40824	11023	35098	22481	16046	11162
1395708677.68	837247	24239	28240	13507	22246	22730	6633	5999
1395708678.71	433662	9556	9983	20088	5556	9949	18724	10437
1395708679.74	136012	14909	9328	3226	6079	8495	15002	13750
1395708680.78	966611	55395	11346	19806	9777	3039	6334	4638
1395708681.81	583592	63562	52506	9875	4637	7436	9524	8717
1395708682.84	944334	115404	1209	9912	5032	11285	12612	6225
1395708683.87	562186	190254	92606	97410	19915	33158	9659	7382
1395708684.9	167037	123927	8981	7711	5684	2295	1935	1741
1395708685.94	106880	38604	31172	12634	14330	16856	8732	14096
1395708686.97	190686	19038	16603	14906	17362	31545	14405	13367
1395708688.01	1667743	70769	59722	14436	44619	23805	9227	8186
1395708689.04	1097777	383502	47729	52831	24967	27270	20451	15386
1395708690.07	181784	279747	15409	18615	13751	16072	8574	12023
1395708691.1	613174	165767	46348	63959	29760	14259	12603	11115
1395708692.14	102790	24084	3827	4425	3393	2241	1440	3149
1395708693.17	2114981	82122	99852	183268	130162	35364	23681	33094
1395708694.21	531463	10051	8250	8317	2779	4815	3077	1073
1395708695.24	271208	208690	34734	19729	20337	86155	52363	33186
1395708696.28	1754918	277195	31773	21743	10701	24741	28620	15396
1395708697.31	157777	193967	12236	52369	20918	34411	22622	32681
1395708698.34	2461945	280756	31604	36653	38250	20880	16123	15699
1395708699.38	31906	5150	7037	23550	8309	14218	8371	11032
1395708700.41	49956	67353	13631	3449	4894	4888	2339	1728
1395708701.45	88804	42834	5821	4279	2944	5507	2949	3399
1395708702.49	394976	127078	3322	6368	11094	12681	6637	9308
1395708703.52	652151	35901	38014	42201	12468	11217	11007	8293
1395708704.57	143784	28380	1283	8771	1165	1890	2168	3367
1395708705.6	222418	47209	4380	2484	3141	6439	6291	15772
1395708706.63	154836	24165	18152	12475	4509	15301	12109	11205
1395708707.67	233089	51653	22157	12365	9542	12606	4306	6047
1395708708.7	163673	56203	5077	12229	6653	13984	2685	2121
1395708709.73	269025	19123	13608	15368	31991	14762	8879	11077
1395708710.76	19734	33830	5660	8863	9457	7365	17002	13823
1395708711.8	21923	6961	12329	12304	7403	11643	8007	7213
1395708712.83	8474	14024	16545	7373	5809	9811	7832	6447
1395708713.87	14849	65599	32044	20323	9542	15238	14147	8090
1395708714.91	17554	22551	12123	8113	8292	10886	14298	7842
1395708715.94	10937	30149	2204	7329	7704	14410	4175	11323
1395708716.97	18286	7399	6286	2675	8492	12247	8145	2290
1395708718.0	43136	40596	8071	13631	12503	18157	8075	3825
1395708719.03	5532	25742	405	8210	11922	8012	8778	3806
1395708720.06	19357	4566	3773	13311	2549	7764	3328	3949
1395708721.1	106927	73238	27224	33276	37837	17798	14366	21171
1395708722.13	602031	18455	3020	4030	11321	12599	13035	2315
1395708723.16	9556	24933	8885	7349	16544	22582	8737	5480
1395708724.2	738038	45154	17722	10223	2956	4706	12908	3702
1395708725.24	764823	547567	41101	12467	19413	30773	22032	12285
1395708726.27	12447	30319	4985	5642	11177	8465	23070	8773
1395708727.3	40069	84452	8015	20327	13580	21631	12573	13623
1395708728.34	962641	85562	13602	13522	13239	14301	14588	4755
1395708729.37	18385	3206	3261	2803	1528	11150	2000	2398
1395708730.41	22950	14974	13249	2158	7932	14103	4362	4758
1395708731.44	159366	138495	20726	23415	5500	18011	13734	9708
1395708732.47	52670	6047	6995	1607	5911	10372	7754	6780
1395708733.5	5319	10215	2604	3459	3660	7075	10213	5662
1395708734.53	2911	2509	5063	7817	4442	9494	8496	9011
