1	00:00:00
2	00:00:29
3	00:00:38
4	00:01:02
5	00:01:33
6	00:02:15
7	00:02:45
8	00:02:59
9	00:03:44
10	00:03:56
11	00:04:12
12	00:04:43
13	00:05:42
14	00:05:49
15	00:06:00
16	00:06:26
17	00:06:41
18	00:06:59
19	00:07:07
20	00:07:19
21	00:07:28
22	00:07:36
23	00:07:48
24	00:07:57
25	00:08:38
26	00:08:46
27	00:08:54
28	00:08:59
29	00:09:17
30	00:09:42
31	00:09:50
32	00:09:58
33	00:10:11
34	00:10:19
35	00:10:35
36	00:11:15
37	00:11:23
38	00:12:14
39	00:12:35
40	00:12:43
41	00:12:51
42	00:13:12
43	00:13:20
44	00:13:44
45	00:13:49
46	00:13:54
47	00:13:59
48	00:14:03
49	00:14:08
50	00:14:13
51	00:14:17
52	00:14:22
53	00:14:27
54	00:14:32
55	00:14:36
56	00:14:41
57	00:14:46
58	00:14:50
59	00:14:55
60	00:15:00
61	00:15:04
62	00:15:09
63	00:15:14
64	00:15:19
65	00:15:23
66	00:15:28
67	00:15:33
68	00:15:37
69	00:15:43
70	00:15:53
71	00:17:13
72	00:18:17
73	00:18:28
74	00:18:38
75	00:18:48
76	00:20:52
77	00:21:04
78	00:23:53
79	00:24:07
80	00:24:16
81	00:24:23
82	00:26:19
83	00:26:31
84	00:27:48
85	00:27:58
86	00:28:06
87	00:28:15
88	00:28:24
89	00:30:00
90	00:30:09
91	00:30:18
92	00:30:27
93	00:31:26
94	00:31:36
95	00:31:45
96	00:31:54
97	00:33:51
98	00:34:04
99	00:34:14
100	00:34:24
101	00:34:33
102	00:34:42
103	00:34:52
-1	00:35:59
