Time,john,thomas,vaidy
00:03:31, 47, 37, 81
00:03:32, 47, 35, 91
00:03:33, 51, 40, 75
00:03:34, 57, 23, 60
00:03:35, 54, 34, 50
00:03:36, 48, 30, 54
00:03:37, 48, 29, 54
00:03:38, 41, 44, 69
00:03:39, 40, 29, 61
00:03:40, 38, 29, 66
00:03:41, 48, 30, 63
00:03:42, 51, 26, 57
00:03:43, 61, 43, 57
00:03:44, 63, 38, 48
00:03:45, 51, 48, 47
00:03:46, 51, 51, 50
00:03:47, 35, 47, 43
00:03:48, 35, 44, 44
00:03:49, 44, 35, 50
00:03:50, 48, 26, 57
00:03:51, 60, 29, 74
00:03:52, 54, 30, 87
00:03:53, 51, 37, 74
00:03:54, 44, 40, 67
00:03:55, 43, 34, 69
00:03:56, 43, 34, 57
00:03:57, 51, 27, 69
00:03:58, 47, 24, 70
00:03:59, 47, 29, 66
00:04:00, 61, 30, 56
00:04:01, 53, 17, 64
00:04:02, 64, 20, 47
00:04:03, 69, 4, 29
00:04:04, 63, 13, 29
00:04:05, 64, 37, 34
00:04:06, 57, 29, 38
00:04:07, 56, 41, 43
00:04:08, 51, 37, 38
00:04:09, 51, 27, 16
00:04:10, 51, 40, 27
00:04:11, 51, 56, 23
00:04:12, 43, 54, 27
00:04:13, 44, 60, 26
00:04:14, 56, 57, 17
00:04:15, 60, 53, 26
00:04:16, 70, 50, 24
00:04:17, 75, 47, 24
00:04:18, 61, 43, 20
00:04:19, 75, 34, 26
00:04:20, 66, 35, 40
00:04:21, 57, 24, 69
00:04:22, 70, 23, 83
00:04:23, 56, 30, 88
00:04:24, 61, 48, 84
00:04:25, 61, 61, 70
00:04:26, 66, 78, 77
00:04:27, 67, 70, 67
00:04:28, 53, 64, 70
00:04:29, 48, 56, 69
00:04:30, 35, 41, 56
00:04:31, 23, 35, 56
00:04:32, 20, 20, 57
00:04:33, 20, 37, 53
00:04:34, 14, 35, 53
00:04:35, 30, 48, 48
00:04:36, 38, 54, 47
00:04:37, 47, 29, 43
00:04:38, 51, 40, 40
00:04:39, 40, 35, 40
00:04:40, 43, 29, 29
00:04:41, 38, 37, 37
00:04:42, 44, 16, 51
00:04:43, 40, 16, 61
00:04:44, 30, 20, 69
00:04:45, 40, 24, 63
00:04:46, 23, 35, 51
00:04:47, 34, 20, 61
00:04:48, 37, 14, 57
00:04:49, 34, 16, 66
00:04:50, 56, 14, 67
00:04:51, 61, 26, 63
00:04:52, 69, 47, 64
00:04:53, 66, 51, 60
00:04:54, 69, 56, 50
00:04:55, 60, 54, 44
00:04:56, 53, 50, 35
00:04:57, 64, 44, 47
00:04:58, 54, 56, 57
00:04:59, 61, 51, 57
00:05:00, 48, 44, 78
00:05:01, 37, 41, 69
00:05:02, 38, 38, 67
00:05:03, 38, 43, 75
00:05:04, 51, 35, 67
00:05:05, 43, 40, 60
00:05:06, 47, 34, 66
00:05:07, 44, 43, 61
00:05:08, 41, 48, 64
00:05:09, 67, 41, 67
00:05:10, 66, 47, 51
00:05:11, 61, 53, 37
00:05:12, 60, 57, 24
00:05:13, 44, 61, 38
00:05:14, 29, 66, 40
00:05:15, 26, 51, 56
00:05:16, 27, 48, 64
00:05:17, 34, 57, 60
00:05:18, 40, 51, 67
00:05:19, 43, 56, 64
00:05:20, 47, 63, 53
00:05:21, 40, 53, 54
00:05:22, 60, 63, 60
00:05:23, 69, 60, 61
00:05:24, 74, 56, 75
00:05:25, 87, 47, 66
00:05:26, 80, 17, 54
00:05:27, 75, 16, 53
00:05:28, 81, 16, 53
00:05:29, 69, 26, 51
00:05:30, 57, 38, 56
00:05:31, 61, 47, 56
00:05:32, 56, 41, 54
00:05:33, 54, 41, 50
00:05:34, 50, 37, 50
00:05:35, 41, 23, 48
00:05:36, 27, 23, 38
00:05:37, 29, 27, 50
00:05:38, 35, 35, 48
00:05:39, 35, 40, 54
00:05:40, 48, 35, 64
00:05:41, 43, 30, 63
00:05:42, 43, 26, 67
00:05:43, 47, 26, 67
00:05:44, 44, 24, 80
00:05:45, 43, 26, 70
00:05:46, 27, 24, 78
00:05:47, 40, 43, 70
00:05:48, 40, 54, 56
00:05:49, 47, 56, 70
00:05:50, 74, 57, 67
00:05:51, 70, 43, 61
00:05:52, 67, 30, 51
00:05:53, 69, 26, 48
00:05:54, 69, 29, 43
00:05:55, 56, 30, 51
00:05:56, 54, 38, 53
00:05:57, 47, 29, 47
00:05:58, 34, 41, 41
00:05:59, 44, 40, 43
00:06:00, 56, 50, 53
00:06:01, 40, 64, 57
00:06:02, 43, 44, 56
00:06:03, 38, 29, 64
00:06:04, 29, 20, 63
00:06:05, 48, 11, 63
00:06:06, 51, 13, 69
00:06:07, 51, 41, 53
00:06:08, 50, 44, 57
00:06:09, 48, 41, 57
00:06:10, 53, 44, 69
00:06:11, 50, 23, 66
00:06:12, 38, 21, 60
00:06:13, 44, 23, 48
00:06:14, 47, 27, 51
00:06:15, 57, 35, 61
00:06:16, 75, 29, 66
00:06:17, 70, 29, 83
00:06:18, 61, 23, 80
00:06:19, 51, 27, 84
00:06:20, 44, 26, 88
00:06:21, 57, 26, 83
00:06:22, 54, 29, 74
00:06:23, 57, 29, 78
00:06:24, 43, 30, 77
00:06:25, 34, 34, 54
00:06:26, 38, 30, 48
00:06:27, 34, 34, 30
00:06:28, 44, 47, 26
00:06:29, 51, 53, 43
00:06:30, 51, 66, 30
00:06:31, 53, 74, 30
00:06:32, 54, 61, 24
00:06:33, 47, 60, 27
00:06:34, 48, 41, 43
00:06:35, 54, 41, 51
00:06:36, 50, 53, 60
00:06:37, 50, 50, 67
00:06:38, 50, 80, 78
00:06:39, 38, 78, 77
00:06:40, 53, 93, 77
00:06:41, 51, 91, 75
00:06:42, 43, 88, 56
00:06:43, 53, 88, 67
00:06:44, 43, 69, 47
00:06:45, 51, 69, 38
00:06:46, 63, 66, 48
00:06:47, 56, 56, 29
00:06:47, 56, 48, 60
00:06:48, 54, 50, 61
00:06:49, 53, 53, 57
00:06:50, 57, 43, 61
00:06:51, 61, 38, 43
00:06:52, 63, 37, 35
00:06:53, 56, 41, 44
00:06:54, 64, 38, 48
00:06:55, 54, 35, 47
00:06:56, 50, 21, 50
00:06:57, 40, 13, 38
00:06:58, 35, 24, 26
00:06:59, 40, 27, 21
00:07:00, 30, 35, 27
00:07:01, 47, 43, 29
00:07:02, 54, 35, 29
00:07:03, 61, 44, 34
00:07:04, 61, 40, 26
00:07:05, 61, 35, 24
00:07:06, 70, 26, 29
00:07:07, 54, 11, 34
00:07:08, 43, 8, 48
00:07:09, 44, 4, 51
00:07:10, 53, 20, 50
00:07:11, 67, 21, 63
00:07:12, 74, 30, 57
00:07:13, 74, 43, 48
00:07:14, 63, 35, 40
00:07:15, 56, 43, 35
00:07:16, 48, 41, 37
00:07:17, 41, 30, 60
00:07:18, 41, 35, 66
00:07:19, 43, 35, 63
00:07:20, 48, 38, 64
00:07:21, 50, 51, 37
00:07:22, 40, 57, 29
00:07:23, 40, 50, 34
00:07:24, 44, 60, 30
00:07:25, 38, 54, 44
00:07:26, 41, 56, 57
00:07:27, 26, 67, 50
00:07:28, 16, 54, 53
00:07:29, 24, 44, 56
00:07:30, 30, 38, 60
00:07:31, 41, 35, 57
00:07:32, 43, 35, 34
00:07:33, 44, 40, 38
00:07:34, 47, 51, 27
00:07:35, 54, 47, 37
00:07:36, 57, 57, 57
00:07:37, 56, 56, 61
00:07:38, 56, 56, 63
00:07:39, 48, 64, 66
00:07:40, 53, 50, 67
00:07:41, 44, 44, 56
00:07:42, 50, 34, 57
00:07:43, 53, 21, 61
00:07:44, 51, 26, 50
00:07:45, 44, 34, 60
00:07:46, 30, 35, 66
00:07:47, 30, 48, 57
00:07:48, 35, 48, 74
00:07:49, 47, 48, 69
00:07:50, 56, 40, 64
00:07:51, 47, 40, 60
00:07:52, 44, 40, 48
00:07:53, 38, 20, 35
00:07:54, 27, 27, 35
00:07:55, 20, 37, 41
00:07:56, 14, 34, 35
00:07:57, 24, 50, 48
00:07:58, 24, 50, 44
00:07:59, 44, 41, 48
00:08:00, 47, 51, 54
00:08:01, 37, 50, 57
00:08:02, 34, 44, 57
00:08:03, 23, 63, 60
00:08:04, 26, 69, 47
00:08:05, 35, 57, 47
00:08:06, 47, 78, 47
00:08:07, 66, 64, 38
00:08:08, 51, 60, 53
00:08:09, 61, 78, 41
00:08:10, 61, 57, 35
00:08:11, 60, 63, 35
00:08:12, 75, 57, 23
00:08:13, 75, 47, 24
00:08:14, 80, 60, 26
00:08:15, 64, 61, 30
00:08:16, 54, 47, 44
00:08:17, 47, 53, 53
00:08:18, 37, 40, 53
00:08:19, 41, 41, 48
00:08:20, 53, 56, 50
00:08:21, 48, 43, 38
00:08:22, 44, 47, 50
00:08:23, 40, 43, 67
00:08:24, 40, 40, 67
00:08:25, 51, 54, 88
00:08:26, 57, 57, 87
00:08:27, 66, 57, 83
00:08:28, 56, 60, 78
00:08:29, 48, 61, 64
00:08:30, 54, 56, 56
00:08:31, 47, 63, 50
00:08:32, 56, 63, 41
00:08:33, 67, 40, 30
00:08:34, 78, 50, 38
00:08:35, 93, 47, 30
00:08:36, 94, 41, 51
00:08:37, 91, 56, 56
00:08:38, 83, 51, 57
00:08:39, 77, 56, 57
00:08:40, 69, 61, 43
00:08:41, 56, 50, 50
00:08:42, 48, 48, 40
00:08:43, 44, 54, 44
00:08:44, 44, 43, 47
00:08:45, 57, 44, 51
00:08:46, 67, 50, 77
00:08:47, 66, 27, 87
00:08:48, 69, 47, 88
00:08:49, 63, 41, 91
00:08:50, 60, 44, 84
00:08:51, 54, 40, 78
00:08:52, 48, 29, 81
00:08:53, 40, 35, 66
00:08:54, 44, 27, 53
00:08:55, 61, 30, 43
00:08:56, 63, 23, 37
00:08:57, 69, 24, 29
00:08:58, 64, 10, 24
00:08:59, 60, 14, 24
00:09:00, 64, 27, 14
00:09:01, 63, 27, 30
00:09:02, 66, 24, 34
00:09:03, 54, 26, 30
00:09:04, 43, 24, 54
00:09:05, 50, 37, 56
00:09:06, 50, 64, 63
00:09:07, 57, 74, 70
00:09:08, 74, 66, 53
00:09:09, 67, 67, 60
00:09:10, 67, 48, 66
00:09:11, 67, 41, 60
00:09:12, 70, 50, 67
00:09:13, 67, 40, 56
00:09:14, 66, 51, 53
00:09:15, 63, 48, 60
00:09:16, 57, 41, 56
00:09:17, 57, 40, 57
00:09:18, 51, 35, 53
00:09:19, 54, 40, 51
00:09:20, 51, 43, 44
00:09:21, 57, 29, 41
00:09:22, 63, 30, 53
00:09:23, 63, 37, 43
00:09:24, 66, 29, 48
00:09:25, 70, 54, 56
00:09:26, 69, 47, 50
00:09:27, 77, 43, 66
00:09:28, 64, 48, 63
00:09:29, 57, 40, 50
00:09:30, 61, 48, 54
00:09:31, 37, 47, 53
00:09:32, 41, 41, 63
00:09:33, 43, 40, 74
00:09:34, 48, 37, 67
00:09:35, 57, 29, 61
00:09:36, 60, 29, 66
00:09:37, 66, 20, 67
00:09:38, 63, 37, 67
00:09:39, 67, 51, 64
00:09:40, 74, 61, 56
