Time, PoorSignal, Attention, Meditation
16:26:21, 0, 81, 53
16:26:23, 0, 91, 60
16:26:24, 0, 75, 64
16:26:26, 0, 60, 66
16:26:27, 0, 50, 80
16:26:29, 0, 54, 74
16:26:30, 0, 54, 75
16:26:32, 0, 69, 80
16:26:33, 0, 61, 83
16:26:35, 0, 66, 87
16:26:36, 0, 63, 81
16:26:38, 0, 57, 54
16:26:39, 0, 57, 37
16:26:41, 0, 48, 37
16:26:42, 0, 47, 40
16:26:44, 0, 50, 63
16:26:45, 0, 43, 74
16:26:47, 0, 44, 77
16:26:48, 0, 50, 69
16:26:50, 0, 57, 61
16:26:51, 0, 74, 51
16:26:53, 0, 87, 48
16:26:54, 0, 74, 48
16:26:56, 0, 67, 56
16:26:57, 0, 69, 66
16:26:59, 0, 57, 64
16:27:00, 0, 69, 63
16:27:02, 0, 70, 50
16:27:03, 0, 66, 54
16:27:05, 0, 56, 48
16:27:06, 0, 64, 48
16:27:08, 0, 47, 54
16:27:09, 0, 29, 30
16:27:11, 0, 29, 38
16:27:12, 0, 34, 41
16:27:14, 0, 38, 23
16:27:15, 0, 43, 37
16:27:16, 0, 38, 41
16:27:18, 0, 16, 20
16:27:19, 0, 27, 29
16:27:21, 0, 23, 20
16:27:22, 0, 27, 14
16:27:24, 0, 26, 37
16:27:25, 0, 17, 26
16:27:27, 0, 26, 47
16:27:28, 0, 24, 51
16:27:30, 0, 24, 50
16:27:31, 0, 20, 63
16:27:33, 0, 26, 48
16:27:34, 0, 40, 53
16:27:36, 0, 69, 44
16:27:37, 0, 83, 53
16:27:39, 0, 88, 64
16:27:40, 0, 84, 56
16:27:42, 0, 70, 63
16:27:43, 0, 77, 56
16:27:45, 0, 67, 53
16:27:46, 0, 70, 54
16:27:48, 0, 69, 64
16:27:49, 0, 56, 80
16:27:51, 0, 56, 93
16:27:52, 0, 57, 97
16:27:54, 0, 53, 100
16:27:55, 0, 53, 96
16:27:57, 0, 48, 83
16:27:58, 0, 47, 83
16:28:00, 0, 43, 69
16:28:01, 0, 40, 60
16:28:03, 0, 40, 61
16:28:04, 0, 29, 50
16:28:06, 0, 37, 53
16:28:07, 0, 51, 53
16:28:09, 0, 61, 56
16:28:10, 0, 69, 61
16:28:12, 0, 63, 67
16:28:13, 0, 51, 56
16:28:15, 0, 61, 51
16:28:16, 0, 57, 48
16:28:18, 0, 66, 41
16:28:19, 0, 67, 54
16:28:21, 0, 63, 53
16:28:22, 0, 64, 70
16:28:24, 0, 60, 63
16:28:25, 0, 50, 69
16:28:27, 0, 44, 70
16:28:28, 0, 35, 57
16:28:30, 0, 47, 61
16:28:31, 0, 57, 40
