Mar 25, 2014 23:53:09	[8306531.0, 2535773.628332868, 2532484.5420179944, 1870100.3950701272, 3238287.4820863367, 246397.3417357127, 1201692.3558872258, 1224978.8043082647, 1850558.8081008168, 1116481.7020842538, 1541096.3642758261, 1117143.62876323, 634329.2238278537, 1166031.9261658783, 1468595.1086052414, 843977.2219427084, 1202784.5938009834, 1081535.9694859707, 1097168.6384449431, 531093.0407254937, 776180.6645661978, 802548.42816757, 815589.0136832935, 1693135.0801594951, 1071906.5853348211, 1171301.1673021133, 1229103.7598639799, 677551.1020618065, 1788728.7461066223, 835223.9458715052, 593204.8885811904, 340070.1515607857, 345224.74309336836, 608301.6549341073, 742890.9463633742, 377600.6779640377, 474784.28959654877, 622431.2458773525, 771250.7143391606, 374731.4106326376, 101075.86371103331, 261364.78187988864, 597832.457594472, 1004704.6699747524, 751931.8351221692, 477309.59064395865, 509583.26852028025, 458740.4893165842, 1056981.6904992654]
Mar 25, 2014 23:53:10	[9413701.0, 1723739.2020720253, 2306470.3067833195, 1706781.0959512086, 1732406.9273120246, 1110295.416542763, 1651039.3309618123, 1842332.2869708305, 2174713.1084468896, 871377.7190977721, 946199.3063206567, 699305.8228669513, 1473344.7597688662, 1290546.1008406128, 794221.7545640566, 475213.5279107054, 1094298.0281979595, 348067.00184711243, 1085440.8583359031, 757668.3567506046, 368032.5269654225, 259823.7402531492, 658500.8525735352, 1319883.410889556, 1265073.3054212863, 483281.7789976626, 775851.2915098466, 517614.8028067721, 345904.9270143614, 425921.96295414516, 421288.7322725549, 933456.5413222902, 154573.944038871, 1245207.9628760996, 891556.7746835105, 839688.81315209, 1134153.9648112226, 1375657.9402375063, 670816.6646885097, 2100907.026750896, 352147.5287779136, 1443942.9731093775, 1279436.1254073263, 428679.0861076756, 335664.0795148127, 524336.03676353, 1248765.717233297, 943897.2488572601, 833158.8969767859]
Mar 25, 2014 23:53:11	[7463222.0, 2710314.223431237, 2650169.4480028744, 1253799.4063505768, 1825774.677280972, 2582521.857776639, 802999.3278851814, 721584.2517288055, 1255131.6145877624, 1643957.4755273818, 224560.26174417522, 1865625.0098850883, 1094872.1695745655, 1361404.5286946446, 364950.41662210994, 905603.0369752877, 816632.4275679146, 268014.68229378515, 1451390.0473435337, 433148.98268496664, 905441.7790041054, 975872.4412495646, 300339.5090171744, 1684422.3991341228, 154941.32669467627, 1090269.7364245772, 450471.5260392383, 468156.76177148416, 748328.1181046143, 629801.1475636052, 829335.9551276579, 629322.3004894502, 1672646.1096442025, 716070.8211375026, 1235366.6702142474, 322140.2722584457, 1067454.7965013434, 129927.2911852591, 359772.5700167228, 254182.7304138802, 572110.3828795342, 978739.9342200556, 968283.8376153717, 571169.436161971, 511908.9097977106, 640410.33704422, 882867.1024715411, 655746.6415906242, 932807.3340239726]
Mar 25, 2014 23:53:12	[7272721.0, 2590555.352167343, 4715718.640872348, 3191236.167188357, 2526197.563435315, 2103852.5806536465, 1320994.8761985693, 300125.2222251266, 20803.540768301675, 1353884.8624363795, 495706.1732612464, 913619.5439080107, 823592.820287108, 1555700.5767940416, 624600.8491075544, 1167162.128820295, 1147370.8711811963, 1283293.9431835213, 82836.94224391623, 697850.9453696967, 856055.8570027457, 401457.0846423142, 949036.276505289, 792626.2589153888, 591405.9932396035, 575958.6537728606, 504367.932523692, 662265.6303561999, 612971.1448906226, 206339.51546968965, 424367.23700419726, 151213.71645055927, 667351.8611618557, 512597.9496593297, 335832.5627214585, 649100.350488222, 831649.2207305969, 230149.11627600683, 729860.4763089492, 517090.0664109107, 577276.8650302959, 247130.76118963448, 639834.3300382693, 321148.5202293549, 260927.89006067746, 765617.5139992674, 517693.9979045846, 532372.0080461033, 415251.4709561188]
Mar 25, 2014 23:53:13	[9410143.0, 1476075.8284366978, 3963297.0754385623, 4388647.179049558, 1220569.1424733445, 1692517.0896765336, 2196352.7747196886, 795135.4754240395, 1617820.541109305, 1122635.2994550874, 1538853.3232930647, 1244235.2701907, 675517.9310114656, 1088689.4962845475, 677570.7327222534, 2058756.000764124, 166387.3381304592, 969660.0791028182, 1001759.3138129163, 123705.71479165716, 817035.695484627, 423467.45140016114, 518874.5233857707, 1080770.3916343707, 579304.5996199155, 453186.77205859974, 748377.953718247, 70284.32689583891, 1442317.3665910508, 372661.56275964977, 1013273.6491729507, 351358.5729974122, 716780.7106815331, 999097.4966999885, 1330507.342370297, 343024.3544305589, 167400.57545385827, 408553.8472750253, 529202.1135641844, 290622.91494130495, 841652.0499543865, 999379.2557895875, 636595.7212940869, 402104.5598010337, 232146.96826215976, 19967.64121743097, 387842.04011460923, 267222.2534718976, 616221.172710698]
Mar 25, 2014 23:53:14	[9810055.0, 1583625.4168707365, 761186.9074831661, 2234511.8074954213, 1314504.211944162, 1024391.0926516346, 649069.6742607028, 2221692.721669191, 1231126.7307761302, 592748.7580873228, 1587660.5880725533, 1066151.3710677258, 838596.5338523176, 334696.5940883547, 344671.7418611402, 433080.90968192916, 1553647.2142034632, 998704.6501487353, 287880.66195865325, 893720.7810810655, 302127.0212344622, 1035996.4298959026, 768397.3829630034, 1385736.880073687, 708865.9612946288, 621630.5981549736, 421268.28400533396, 812777.9902281184, 809294.8017397219, 219836.00167997248, 187866.81709972597, 1345233.202789672, 480691.6716801366, 616798.7788763182, 503542.7836858332, 480176.68354024773, 809420.7315767119, 1577324.060481434, 645152.6563602819, 209829.2662828972, 384840.27827276563, 1026141.5852417693, 275502.6458671722, 906524.2056120167, 704490.723515051, 1252854.387761228, 900178.6653428009, 604891.3141862075, 1123516.64037346]
Mar 25, 2014 23:53:15	[11827490.0, 3070185.5733599546, 4197428.180487851, 4511917.115260696, 2942004.3782587205, 3142419.2942981, 2405746.3910945244, 1206979.4095036977, 737815.0318864401, 1503031.348713143, 1586348.2120332506, 1247450.869313871, 741539.9747389285, 1231817.9742795057, 645669.5046721925, 280825.94203854044, 789985.2228729279, 988572.7705893246, 1129710.762365848, 826116.4214236668, 87975.50324051641, 322561.43673090235, 778549.3670970836, 812956.4410366543, 1024215.1331417467, 861127.557457581, 561370.2548089847, 748764.7585220359, 387992.75386351714, 725719.286321037, 554880.7560445291, 278938.58065553056, 194314.087627266, 373016.7249080416, 739764.8004507278, 671361.1219708398, 1097273.6182933766, 399454.71051728295, 703602.7789859349, 410516.27771854814, 441414.1375374763, 410864.38340890006, 270933.54990847973, 711431.0056548166, 782190.3045624398, 681826.0579745506, 725890.3145645594, 907148.3097017502, 246414.27608184092]
Mar 25, 2014 23:53:16	[12359852.0, 8160502.85282937, 3738637.503534257, 1760273.4296141884, 1239485.8460710626, 2501447.0226580403, 1759519.5819711722, 1395769.7683246937, 1911761.3705172362, 18887.269940231166, 307247.5878636576, 1071674.201240714, 993554.121736923, 598987.0934715759, 558349.57241391, 161645.1458072919, 730018.1294649814, 349119.6475523692, 1393819.3747393808, 1108685.3217548698, 1093504.667524673, 1437499.8253331617, 598907.8200777295, 670939.1225256948, 509215.75574311457, 887605.5171468297, 606666.9017192874, 1010303.6613855747, 613144.3112770536, 159842.9477817515, 616733.0015075521, 221513.99699320536, 128424.64956707096, 217631.00109517283, 493519.53695257206, 220511.02494281056, 330674.61669999984, 157832.02548582506, 647940.5147612147, 390207.0755855231, 587068.3920891344, 153211.10141863374, 257896.6466987876, 297795.5030346853, 242238.09457158396, 282561.3241906578, 332725.56926041667, 535166.7690590791, 296714.9157995493]
Mar 25, 2014 23:53:17	[13533918.0, 6686677.786556127, 4433078.500706345, 865397.2688176745, 2689577.561614068, 223304.40487084113, 690002.3894888302, 2062836.0529450735, 2019696.810631923, 1820292.6354893704, 611654.063690173, 1819714.5981693876, 374691.88551725773, 466148.79549596284, 1369669.8724426548, 605390.9773143498, 680404.051259573, 209346.97644470655, 695195.8144653365, 1052234.784152152, 422314.2444030177, 725240.5113226179, 38343.854690290915, 1669240.3936917335, 1091364.1565731359, 1303747.3875239945, 849436.9612020694, 56674.527332574784, 903800.2046136296, 917010.1153700933, 140591.7062185259, 667281.2539387151, 389784.5591594079, 533765.5832715007, 776839.229612091, 1074466.706906079, 299794.6383433749, 283270.2570069757, 366192.4624135687, 291732.61647917534, 410616.6084715433, 653747.905690224, 29669.172539360065, 105204.35089883501, 1005521.1465263229, 733358.313057721, 726978.733184067, 102750.59889312672, 549270.1527323]
Mar 25, 2014 23:53:18	[8301459.0, 4381537.893174771, 3503857.618876448, 3503277.3534340905, 2054023.1989517603, 1497474.5300492847, 508397.15339854226, 672650.3205897772, 831350.4767696367, 1458974.761832967, 889905.0845760475, 915759.5238683518, 1228933.6260481656, 633543.0318031119, 648815.6897261554, 502787.208499345, 857710.8673765125, 438078.01543447236, 1028782.6728832793, 709714.6307224425, 531733.795213183, 250016.494508025, 454778.17566509807, 503840.86465442047, 694419.0832485236, 553569.0282615029, 535143.9468794984, 1195070.1844798243, 492499.2651603391, 652896.6126089833, 625676.6742638188, 1024919.6481711898, 150282.6500847442, 471348.0164741101, 545272.0932284566, 445521.38233362033, 610616.9326928128, 365706.5413423292, 461405.29263501393, 708457.3591182126, 904618.9565398055, 478915.51249111706, 763356.896145993, 723321.1257639242, 770212.5709239794, 824277.7053284593, 394122.6160936655, 487425.1890620355, 470392.13910134806]
