00:00:00	147465	59638	12672	6565	24037	7038	8304	5082
00:00:01	187005	10321	1248	1660	1991	605	1082	1326
00:00:02	15298	34115	13974	8603	8111	10010	10566	18019
00:00:03	9392	23213	13850	15541	18680	12587	6970	6037
00:00:04	10197	2607	5132	2031	5920	16207	12461	8063
00:00:05	22002	45040	17506	53883	28314	11228	10307	6146
00:00:06	139837	11954	789	4652	3414	5100	1475	2390
00:00:07	24404	5467	10742	10801	7186	15333	9225	4683
00:00:08	1865	6032	8901	18169	11291	9461	2424	4917
00:00:09	5641	6780	7905	5518	4647	9351	2010	6810
00:00:10	178050	15109	18556	16632	9710	28360	3009	4713
00:00:11	75156	57081	7282	7661	6512	15033	12647	9904
00:00:13	13576	10060	12676	6287	11346	7886	3587	1979
00:00:14	143875	34750	14273	12832	11782	3131	1580	1086
00:00:15	75484	10936	4223	8094	8757	9463	4511	4266
00:00:16	105471	14739	2738	9626	2491	3405	1628	1133
00:00:17	31364	9899	24828	6859	22809	12073	10678	5066
00:00:18	11386	19590	8425	27248	4425	16071	15219	6942
00:00:19	333885	5375	731	6680	2877	4671	1839	544
00:00:20	11388	30978	2565	3010	12889	7884	5167	8434
00:00:21	17713	10083	1539	6211	20817	12847	7796	7491
00:00:22	2436	9359	7331	4994	7090	6626	14636	10741
00:00:23	100362	14416	1911	3086	2307	3889	1410	2786
00:00:24	16627	25851	7539	8821	7793	12089	12376	6360
00:00:25	1610	26675	9294	10250	7030	21424	9593	7461
00:00:26	211328	392812	103482	40638	48486	13694	6872	12571
00:00:27	1737200	638117	48680	96916	34000	42788	47888	20328
00:00:28	367566	82399	46375	18803	27469	22038	18839	11622
00:00:29	585702	29234	6453	14643	46035	33019	7312	6936
00:00:30	269990	35515	6064	22992	42669	24157	9745	7691
00:00:31	21594	12474	15926	17067	12158	12981	11496	7336
00:00:32	4466	5377	8370	6256	6539	9839	7067	11762
00:00:33	9405	3418	3346	4622	4119	5758	14668	6296
00:00:34	121622	12995	3966	5387	5528	3268	1006	2270
00:00:35	21487	18555	29404	27711	16312	16210	5979	4517
00:00:36	19144	15749	9264	9159	8025	13283	15437	5919
00:00:37	10422	13445	1671	8056	7617	12681	4647	6947
00:00:38	4537	27256	2905	4366	8906	11486	12587	3756
00:00:39	417550	46707	2128	3582	3909	5158	3356	1388
00:00:40	6725	6522	1320	22644	5772	13858	13488	10280
00:00:41	14972	7279	4000	4308	15096	47482	24392	12247
00:00:42	14385	3876	7384	16430	11781	25717	8695	15642
00:00:43	16930	18941	5152	11992	8708	11879	5115	7844
00:00:44	336638	20696	39285	5072	12645	4486	4988	765
00:00:45	59191	18277	1847	11979	18467	18162	13380	14012
00:00:46	20446	37644	4485	8639	5231	19062	13498	6588
00:00:47	2470	6070	7509	5047	6921	7541	12156	6982
00:00:49	25119	21849	7852	12453	20759	36751	11684	14312
00:00:50	20886	10230	13502	12257	9211	16598	9178	9744
00:00:51	227102	17117	2866	1550	1483	2645	1454	1062
00:00:52	6670	12772	15986	11532	4171	21627	7942	17279
00:00:53	18472	5746	7042	12326	17256	11991	7296	5031
00:00:54	4894	5390	22278	9267	20121	11655	8064	10493
00:00:55	45849	12521	5862	17948	14437	15803	8873	6178
00:00:56	2192	10471	16674	22564	29684	17342	9467	12780
00:00:57	121405	304104	59766	24186	13716	16818	5455	5031
00:00:58	58046	22327	4847	37648	8155	12320	8515	4753
00:00:59	32008	73610	27986	70925	34938	13724	8638	2350
00:01:00	28094	29897	12841	13182	14866	14019	6630	10589
00:01:01	2345	11829	5906	14276	18196	19217	9795	8437
00:01:02	388933	32671	10512	3873	10680	4696	2139	1725
00:01:03	38623	11064	5663	9468	15043	10629	12352	3392
00:01:04	33358	11432	21407	17794	12396	20660	7776	9439
00:01:05	11043	7052	8635	41583	1924	20369	8101	11137
00:01:06	9893	5051	4661	2876	15452	17904	16596	18018
00:01:07	19632	21162	3631	21012	19394	22894	6727	5896
00:01:08	241672	33628	7930	2059	3633	3203	3522	1688
00:01:09	7866	8255	11682	15855	18540	18489	16939	6414
00:01:10	14372	15922	22596	12817	22658	11166	25273	4907
00:01:11	9344	17355	13662	6009	13076	19397	4295	10451
00:01:12	6675	12372	3365	20618	7388	20853	10633	4636
00:01:13	2964	11955	11817	20017	13904	28527	19931	9303
00:01:14	15960	10069	13182	16258	8424	19834	8126	7179
00:01:15	115151	79319	8005	14744	5665	28879	6717	4679
00:01:16	22650	16984	3154	14469	9737	22903	12138	7108
00:01:17	18231	8499	13126	17963	10188	9928	7554	6935
00:01:18	11141	9426	14928	10588	11601	22588	3964	4191
00:01:19	181586	7961	10955	5152	6029	4128	2965	1544
00:01:20	10701	11754	11275	26840	16545	17726	12151	6064
00:01:21	1388	31252	18655	43287	13871	11575	6494	8859
00:01:22	11412	10645	2588	39675	4684	9306	9532	8075
00:01:24	168056	11241	8002	5303	2273	2765	1245	1439
00:01:25	1648	11037	8395	2389	9026	23537	19796	9413
00:01:26	15983	16639	8363	10664	7893	12662	6263	3248
00:01:27	6109	6761	5648	22643	16209	8168	8167	7385
00:01:28	9343	9522	7753	37767	7968	15618	9929	5310
00:01:29	155183	56602	19872	16807	28996	25478	8595	2698
00:01:30	55878	14791	13480	11017	8351	12434	16291	4894
00:01:31	6055	21925	4740	5362	24004	13796	6365	9385
00:01:32	29799	12217	5038	11652	7736	11730	6882	6987
00:01:33	26492	8639	12126	5538	4141	9610	9618	9889
00:01:34	222934	186964	91403	15095	9050	14885	11488	3782
00:01:35	22660	34619	30633	7785	7983	26942	5258	7544
00:01:36	13434	70619	27125	26935	15991	11014	14464	6842
00:01:37	23050	23943	22922	35146	18133	23810	10538	9226
00:01:38	26749	39318	12609	5504	16069	39909	13182	19252
00:01:39	7528	16760	3451	10466	11950	14019	13803	21790
00:01:40	113054	90762	23346	34977	35726	28417	21471	11987
00:01:41	114299	39817	7974	12665	11225	9171	2679	3634
00:01:42	10401	14066	15572	46928	11718	21679	12150	6890
00:01:43	57112	14788	4256	2790	5440	16575	13919	6561
00:01:44	84698	30249	2925	16603	22146	14887	12484	8890
00:01:45	11750	10753	7053	16403	9977	14641	12321	14061
00:01:46	8204	15291	5272	17781	13955	18714	10157	9403
00:01:47	525553	51076	26080	10222	24714	18282	18005	8934
00:01:48	156991	14068	16155	8596	17157	19544	16954	7005
00:01:49	6413	14733	21681	21861	20432	14839	12928	9630
00:01:50	346848	43466	3473	43456	14638	21908	11546	11812
00:01:51	16064	9052	9439	17408	8023	14057	16895	20574
00:01:52	7003	19764	12778	37738	14763	11526	10253	10386
00:01:53	13418	25408	14758	24057	2827	16703	10016	9409
00:01:54	5836	11052	20263	26054	35032	26566	13883	2999
00:01:55	248290	81365	34843	28227	36087	33743	4534	4184
00:01:56	33405	5741	8113	25817	11656	14718	6927	6795
00:01:57	193368	122931	2455	14064	10517	28177	11802	11752
00:01:58	3615	9703	4313	21641	11417	22376	18546	3499
00:02:00	360962	121933	26310	42998	11165	23877	10655	5469
00:02:01	40692	26982	5875	57771	18642	14788	7927	11985
00:02:02	77093	50144	23563	17291	22787	14546	11338	13284
00:02:03	558293	18249	4683	10418	29576	16150	9175	7115
00:02:04	401080	45677	7990	7892	14110	19595	19364	10323
00:02:05	3871	9743	5973	14820	7073	9334	6234	8238
00:02:06	4739	5478	7642	10242	6728	12650	4580	6364
00:02:07	10026	11687	7181	20747	7561	17378	8251	4531
00:02:08	82674	111317	27447	27272	19834	13429	14248	13395
00:02:09	1237809	18764	4466	5467	6856	3782	4314	3666
00:02:10	3914	10438	9690	9965	16290	16307	6183	4490
00:02:11	18616	9352	3314	16197	14125	8720	9344	12380
00:02:12	85454	32495	11179	5990	8485	5990	2857	2752
00:02:13	26325	12414	13085	4724	14222	10875	13672	9213
00:02:14	10833	6482	9336	11706	5773	6655	13774	9099
00:02:15	3204	14150	4236	7041	4715	13694	13524	4188
00:02:16	56575	79829	19994	6396	4459	4845	2319	1860
00:02:17	20942	13939	11728	11299	14099	12411	10809	4385
00:02:18	215028	77216	18046	7609	11423	27807	6631	11810
00:02:19	5082	6296	4554	9432	25923	11328	13873	12695
00:02:20	17857	32443	3262	11897	10421	26852	11787	15882
00:02:21	127079	33627	8547	18663	54567	28601	13847	11348
